nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
2,2,18,1,8,1.0,60,71.0,31.09,111296.0
1,1,19,1,8,1.0,60,65.0,30.73,120067.0
2,1,19,1,8,1.0,60,63.0,33.37,124054.0
2,2,19,1,8,1.0,60,70.0,29.97,112737.0
1,1,20,1,8,1.0,60,68.0,30.77,115496.0
2,1,20,1,8,1.0,60,68.0,37.03,115276.0
2,2,20,1,8,1.0,60,70.0,33.0,112314.0
1,1,21,1,8,1.0,60,63.0,29.45,123716.0
2,1,21,1,8,1.0,60,63.0,27.77,124144.0
2,2,21,1,8,1.0,60,64.0,29.12,122526.0
1,1,22,1,8,1.0,60,66.0,28.04,119234.0
2,1,22,1,8,1.0,60,67.0,33.07,118079.0
2,2,22,1,8,1.0,60,71.0,30.05,111600.0
1,1,23,1,8,1.0,60,70.0,29.93,112903.0
2,1,23,1,8,1.0,60,67.0,80.13,118432.0
2,2,23,1,8,1.0,60,67.0,82.11,117388.0
1,1,24,1,8,1.0,60,66.0,30.42,118465.0
2,1,24,1,8,1.0,60,66.0,34.25,119485.0
2,2,24,1,8,1.0,60,71.0,32.46,110837.0
1,1,25,1,8,1.0,60,69.0,28.53,114822.0
2,1,25,1,8,1.0,60,67.0,31.6,117315.0
2,2,25,1,8,1.0,60,69.0,30.43,114447.0
1,1,1,1,16,1.0,60,134.0,49.33,118541.0
2,1,1,1,16,1.0,60,126.0,51.73,125614.0
2,2,1,1,16,1.0,60,132.0,65.89,120432.0
1,1,2,1,16,1.0,60,134.0,50.42,118851.0
2,1,2,1,16,1.0,60,133.0,55.64,119627.0
2,2,2,1,16,1.0,60,128.0,57.94,124377.0
1,1,3,1,16,1.0,60,120.0,46.59,131733.0
2,1,3,1,16,1.0,60,127.0,53.33,124721.0
2,2,3,1,16,1.0,60,132.0,64.59,120008.0
1,1,4,1,16,1.0,60,133.0,51.79,118933.0
2,1,4,1,16,1.0,60,122.0,43.28,130201.0
2,2,4,1,16,1.0,60,121.0,42.71,131423.0
1,1,5,1,16,1.0,60,132.0,51.06,120341.0
2,1,5,1,16,1.0,60,130.0,55.46,121621.0
2,2,5,1,16,1.0,60,134.0,66.56,118118.0
1,1,6,1,16,1.0,60,126.0,46.45,126183.0
2,1,6,1,16,1.0,60,127.0,51.54,125360.0
2,2,6,1,16,1.0,60,135.0,68.48,117642.0
1,1,7,1,16,1.0,60,133.0,51.57,119406.0
2,1,7,1,16,1.0,60,117.0,43.02,135502.0
2,2,7,1,16,1.0,60,126.0,49.04,126299.0
1,1,8,1,16,1.0,60,126.0,46.79,126302.0
2,1,8,1,16,1.0,60,124.0,43.45,128486.0
2,2,8,1,16,1.0,60,125.0,47.75,126587.0
1,1,9,1,16,1.0,60,128.0,48.27,124034.0
2,1,9,1,16,1.0,60,123.0,47.4,128714.0
2,2,9,1,16,1.0,60,136.0,63.11,116729.0
1,1,10,1,16,1.0,60,124.0,45.36,128459.0
2,1,10,1,16,1.0,60,125.0,51.12,126470.0
2,2,10,1,16,1.0,60,137.0,70.52,115680.0
1,1,11,1,16,1.0,60,126.0,48.51,125862.0
2,1,11,1,16,1.0,60,130.0,52.82,122353.0
2,2,11,1,16,1.0,60,139.0,71.84,114334.0
1,1,12,1,16,1.0,60,131.0,49.95,120721.0
2,1,12,1,16,1.0,60,123.0,46.35,129138.0
2,2,12,1,16,1.0,60,119.0,44.62,133119.0
1,1,13,1,16,1.0,60,124.0,46.99,127792.0
2,1,13,1,16,1.0,60,123.0,50.97,128647.0
